id_pedido,data_pedido,ano,mes,nome_mes,segmento,regiao,estado,cidade,categoria,subcategoria,nome_produto,modo_envio,dias_entrega,vendas,quantidade,desconto,lucro,margem_lucro
CA-2016-152156,2016-11-08,2016,11,Nov,Consumidor,Sul,Kentucky,Henderson,Móveis,Estantes,Bush Somerset Collection Bookcase,Segunda Classe,3,261.96,2,0.0,41.9136,16.0
CA-2016-152156,2016-11-08,2016,11,Nov,Consumidor,Sul,Kentucky,Henderson,Móveis,Cadeiras,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Segunda Classe,3,731.94,3,0.0,219.582,30.0
CA-2016-138688,2016-06-12,2016,6,Jun,Corporativo,Oeste,California,Los Angeles,Papelaria,Etiquetas,Self-Adhesive Address Labels for Typewriters by Universal,Segunda Classe,4,14.62,2,0.0,6.8714,47.0
US-2015-108966,2015-10-11,2015,10,Oct,Consumidor,Sul,Florida,Fort Lauderdale,Móveis,Mesas,Bretford CR4500 Series Slim Rectangular Table,Padrão,7,957.5775,5,0.45,-383.031,-40.0
US-2015-108966,2015-10-11,2015,10,Oct,Consumidor,Sul,Florida,Fort Lauderdale,Papelaria,Armazenamento,Eldon Fold 'N Roll Cart System,Padrão,7,22.368,2,0.2,2.5164,11.25
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Móveis,Mobiliário,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Padrão,5,48.86,7,0.0,14.1694,29.0
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Papelaria,Arte,Newell 322,Padrão,5,7.28,4,0.0,1.9656,27.0
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Tecnologia,Telefones,Mitel 5320 IP Phone VoIP phone,Padrão,5,907.152,6,0.2,90.7152,10.0
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Papelaria,Fichários,DXL Angle-View Binders with Locking Rings by Samsill,Padrão,5,18.504,3,0.2,5.7825,31.25
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Papelaria,Eletrodomésticos,Belkin F5C206VTEL 6 Outlet Surge,Padrão,5,114.9,5,0.0,34.47,30.0
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Móveis,Mesas,Chromcraft Rectangular Conference Tables,Padrão,5,1706.184,9,0.2,85.3092,5.0
CA-2014-115812,2014-06-09,2014,6,Jun,Consumidor,Oeste,California,Los Angeles,Tecnologia,Telefones,Konftel 250 Conference phone - Charcoal black,Padrão,5,911.424,4,0.2,68.3568,7.5
CA-2017-114412,2017-04-15,2017,4,Apr,Consumidor,Sul,North Carolina,Concord,Papelaria,Papel,Xerox 1967,Padrão,5,15.552,3,0.2,5.4432,35.0
CA-2016-161389,2016-12-05,2016,12,Dec,Consumidor,Oeste,Washington,Seattle,Papelaria,Fichários,Fellowes PB200 Plastic Comb Binding Machine,Padrão,5,407.976,3,0.2,132.5922,32.5
US-2015-118983,2015-11-22,2015,11,Nov,Home Office,Central,Texas,Fort Worth,Papelaria,Eletrodomésticos,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Padrão,4,68.81,5,0.8,-123.858,-180.0
US-2015-118983,2015-11-22,2015,11,Nov,Home Office,Central,Texas,Fort Worth,Papelaria,Fichários,Storex DuraTech Recycled Plastic Frosted Binders,Padrão,4,2.544,3,0.8,-3.816,-150.0
CA-2014-105893,2014-11-11,2014,11,Nov,Consumidor,Central,Wisconsin,Madison,Papelaria,Armazenamento,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Padrão,7,665.88,6,0.0,13.3176,2.0
CA-2014-167164,2014-05-13,2014,5,May,Consumidor,Oeste,Utah,West Jordan,Papelaria,Armazenamento,Fellowes Super Stor/Drawer,Segunda Classe,2,55.5,2,0.0,9.99,18.0
CA-2014-143336,2014-08-27,2014,8,Aug,Consumidor,Oeste,California,San Francisco,Papelaria,Arte,Newell 341,Segunda Classe,5,8.56,2,0.0,2.4824,29.0
CA-2014-143336,2014-08-27,2014,8,Aug,Consumidor,Oeste,California,San Francisco,Tecnologia,Telefones,Cisco SPA 501G IP Phone,Segunda Classe,5,213.48,3,0.2,16.011,7.5
CA-2014-143336,2014-08-27,2014,8,Aug,Consumidor,Oeste,California,San Francisco,Papelaria,Fichários,"Wilson Jones Hanging View Binder, White, 1""",Segunda Classe,5,22.72,4,0.2,7.384,32.5
CA-2016-137330,2016-12-09,2016,12,Dec,Corporativo,Central,Nebraska,Fremont,Papelaria,Arte,Newell 318,Padrão,4,19.46,7,0.0,5.0596,26.0
CA-2016-137330,2016-12-09,2016,12,Dec,Corporativo,Central,Nebraska,Fremont,Papelaria,Eletrodomésticos,"Acco Six-Outlet Power Strip, 4' Cord Length",Padrão,4,60.34,7,0.0,15.6884,26.0
US-2017-156909,2017-07-16,2017,7,Jul,Consumidor,Leste,Pennsylvania,Philadelphia,Móveis,Cadeiras,"Global Deluxe Stacking Chair, Gray",Segunda Classe,2,71.372,2,0.3,-1.0196,-1.43
CA-2015-106320,2015-09-25,2015,9,Sep,Consumidor,Oeste,Utah,Orem,Móveis,Mesas,Bretford CR4500 Series Slim Rectangular Table,Padrão,5,1044.63,3,0.0,240.2649,23.0
CA-2016-121755,2016-01-16,2016,1,Jan,Consumidor,Oeste,California,Los Angeles,Papelaria,Fichários,Wilson Jones Active Use Binders,Segunda Classe,4,11.648,2,0.2,4.2224,36.25
CA-2016-121755,2016-01-16,2016,1,Jan,Consumidor,Oeste,California,Los Angeles,Tecnologia,Acessórios,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Segunda Classe,4,90.57,3,0.0,11.7741,13.0
US-2015-150630,2015-09-17,2015,9,Sep,Consumidor,Leste,Pennsylvania,Philadelphia,Móveis,Estantes,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Padrão,4,3083.43,7,0.5,-1665.0522,-54.0
